Call_ID,Customer_Id,Agent,Date_Of_Call,Time_Of_Call,Resolved,Answered,Topic,Speed_of_answer_in_seconds,Duration,Satisfaction_rating
143,2755,Greg,2021-01-03,11:38:24 AM,1,1,Streaming,101,12:02:16 AM,3
144,4633,Diane,2021-01-03,11:38:24 AM,1,1,Technical Support,31,12:02:55 AM,5
145,4634,Jim,2021-01-03,11:52:48 AM,1,1,Contract related,56,12:04:09 AM,5
146,1166,Joe,2021-01-03,11:52:48 AM,0,0,Contract related,,,
147,4635,Joe,2021-01-03,11:55:41 AM,1,1,Payment related,77,12:01:27 AM,5
148,657,Jim,2021-01-03,11:55:41 AM,1,1,Payment related,46,12:00:50 AM,4
149,508,Stewart,2021-01-03,11:58:34 AM,1,1,Admin Support,88,12:04:26 AM,3
150,344,Diane,2021-01-03,11:58:34 AM,1,1,Payment related,88,12:00:58 AM,1
151,345,Joe,2021-01-03,12:33:07 PM,1,1,Technical Support,124,12:06:03 AM,1
152,6,Stewart,2021-01-03,12:33:07 PM,0,0,Contract related,,,
153,287,Martha,2021-01-03,12:54:43 PM,0,1,Payment related,52,12:06:59 AM,4
154,4636,Joe,2021-01-03,12:54:43 PM,1,1,Admin Support,67,12:06:10 AM,5
155,2756,Martha,2021-01-03,1:12:00 PM,1,1,Payment related,119,12:04:16 AM,3
156,2444,Dan,2021-01-03,1:12:00 PM,1,1,Admin Support,98,12:04:37 AM,2
157,1167,Jim,2021-01-03,1:14:53 PM,0,0,Technical Support,,,
158,2757,Joe,2021-01-03,1:14:53 PM,1,1,Technical Support,118,12:04:18 AM,3
159,2758,Becky,2021-01-03,1:27:50 PM,1,1,Admin Support,123,12:01:15 AM,3
160,1856,Becky,2021-01-03,1:27:50 PM,0,1,Streaming,86,12:05:37 AM,1
161,2759,Greg,2021-01-03,1:35:02 PM,1,1,Admin Support,104,12:02:09 AM,3
162,2445,Greg,2021-01-03,1:35:02 PM,1,1,Payment related,69,12:01:33 AM,2
163,2161,Dan,2021-01-03,1:58:05 PM,1,1,Contract related,113,12:02:38 AM,1
164,4637,Joe,2021-01-03,1:58:05 PM,1,1,Streaming,88,12:03:23 AM,5
165,1168,Joe,2021-01-03,1:58:05 PM,0,0,Streaming,,,
166,1169,Stewart,2021-01-03,1:58:05 PM,0,0,Payment related,,,
167,2446,Joe,2021-01-03,2:03:50 PM,1,1,Payment related,84,12:00:58 AM,2
168,509,Diane,2021-01-03,2:03:50 PM,1,1,Streaming,113,12:01:22 AM,3
169,3700,Joe,2021-01-03,2:47:02 PM,1,1,Streaming,38,12:05:31 AM,4
170,3701,Dan,2021-01-03,2:47:02 PM,1,1,Streaming,14,12:06:14 AM,4
171,2000,Martha,2021-01-03,3:34:34 PM,0,1,Streaming,25,12:05:32 AM,4
172,7,Dan,2021-01-03,3:34:34 PM,0,0,Contract related,,,
173,1170,Diane,2021-01-03,4:29:17 PM,0,0,Technical Support,,,
174,3702,Joe,2021-01-03,4:29:17 PM,1,1,Payment related,117,12:02:07 AM,4
175,1888,Stewart,2021-01-03,5:31:12 PM,0,1,Payment related,57,12:06:01 AM,2
176,4638,Martha,2021-01-03,5:31:12 PM,1,1,Technical Support,119,12:05:19 AM,5
177,1171,Martha,2021-01-04,9:01:26 AM,0,0,Contract related,,,
178,779,Diane,2021-01-04,9:01:26 AM,1,1,Streaming,93,12:06:32 AM,5
179,3703,Martha,2021-01-04,9:31:41 AM,1,1,Payment related,86,12:01:04 AM,4
180,1172,Joe,2021-01-04,9:31:41 AM,0,0,Streaming,,,
181,2760,Dan,2021-01-04,9:43:12 AM,1,1,Contract related,92,12:02:59 AM,3
182,1173,Greg,2021-01-04,9:43:12 AM,0,0,Streaming,,,
183,2761,Martha,2021-01-04,10:03:22 AM,1,1,Technical Support,106,12:05:42 AM,3
184,510,Stewart,2021-01-04,10:03:22 AM,1,1,Technical Support,67,12:02:44 AM,3
185,2762,Jim,2021-01-04,10:27:50 AM,1,1,Streaming,90,12:04:17 AM,3
186,1174,Diane,2021-01-04,10:27:50 AM,0,0,Technical Support,,,
187,288,Becky,2021-01-04,11:09:36 AM,0,1,Streaming,50,12:03:49 AM,4
188,1916,Diane,2021-01-04,11:09:36 AM,0,1,Admin Support,89,12:04:16 AM,3
189,2763,Jim,2021-01-04,11:13:55 AM,1,1,Admin Support,74,12:06:18 AM,3
190,2447,Martha,2021-01-04,11:13:55 AM,1,1,Payment related,63,12:02:22 AM,2
191,780,Becky,2021-01-04,11:18:14 AM,1,1,Contract related,45,12:06:31 AM,5
192,8,Martha,2021-01-04,11:18:14 AM,0,0,Technical Support,,,
193,2448,Dan,2021-01-04,11:22:34 AM,1,1,Payment related,31,12:06:43 AM,2
194,1175,Joe,2021-01-04,11:22:34 AM,0,0,Streaming,,,
195,4639,Joe,2021-01-04,11:32:38 AM,1,1,Contract related,43,12:03:44 AM,5
196,3704,Martha,2021-01-04,11:32:38 AM,1,1,Streaming,50,12:05:42 AM,4
197,3705,Dan,2021-01-04,12:02:53 PM,1,1,Technical Support,48,12:05:12 AM,4
198,4640,Martha,2021-01-04,12:02:53 PM,1,1,Admin Support,113,12:02:44 AM,5
199,1176,Jim,2021-01-04,12:15:50 PM,0,0,Streaming,,,
200,4641,Joe,2021-01-04,12:15:50 PM,1,1,Technical Support,103,12:06:40 AM,5
201,1917,Becky,2021-01-04,12:15:50 PM,0,1,Technical Support,95,12:04:27 AM,3
202,2162,Joe,2021-01-04,12:15:50 PM,1,1,Admin Support,30,12:05:04 AM,1
203,511,Greg,2021-01-04,1:32:10 PM,1,1,Admin Support,124,12:03:19 AM,3
204,4642,Diane,2021-01-04,1:32:10 PM,1,1,Admin Support,17,12:02:03 AM,5
205,512,Stewart,2021-01-04,1:45:07 PM,1,1,Streaming,113,12:06:00 AM,3
206,4643,Jim,2021-01-04,1:45:07 PM,1,1,Technical Support,25,12:02:27 AM,5
207,4644,Jim,2021-01-04,1:56:38 PM,1,1,Admin Support,52,12:04:22 AM,5
208,4645,Dan,2021-01-04,1:56:38 PM,1,1,Admin Support,28,12:02:44 AM,5
209,2764,Greg,2021-01-04,2:25:26 PM,1,1,Technical Support,69,12:03:05 AM,3
210,2765,Martha,2021-01-04,2:25:26 PM,1,1,Streaming,106,12:03:52 AM,3
211,9,Jim,2021-01-04,2:28:19 PM,0,0,Technical Support,,,
212,2766,Joe,2021-01-04,2:28:19 PM,1,1,Payment related,26,12:04:59 AM,3
213,3706,Joe,2021-01-04,2:31:12 PM,1,1,Payment related,53,12:05:55 AM,4
214,2449,Martha,2021-01-04,2:31:12 PM,1,1,Technical Support,77,12:04:10 AM,2
215,2767,Jim,2021-01-04,2:49:55 PM,1,1,Contract related,45,12:03:02 AM,3
216,10,Becky,2021-01-04,2:49:55 PM,0,0,Technical Support,,,
217,3707,Greg,2021-01-04,3:23:02 PM,1,1,Streaming,56,12:04:16 AM,4
218,441,Stewart,2021-01-04,3:23:02 PM,1,1,Admin Support,13,12:03:56 AM,2
219,4646,Stewart,2021-01-04,3:48:58 PM,1,1,Admin Support,120,12:06:50 AM,5
220,2163,Diane,2021-01-04,3:48:58 PM,1,1,Payment related,22,12:00:50 AM,1
221,3708,Martha,2021-01-04,4:48:00 PM,1,1,Payment related,81,12:03:21 AM,4
222,1177,Jim,2021-01-04,4:48:00 PM,0,0,Streaming,,,
223,2450,Martha,2021-01-04,4:49:26 PM,1,1,Contract related,71,12:00:48 AM,2
224,3709,Stewart,2021-01-04,4:49:26 PM,1,1,Payment related,75,12:01:33 AM,4
225,658,Martha,2021-01-04,4:49:26 PM,1,1,Technical Support,77,12:02:42 AM,4
226,3710,Joe,2021-01-04,4:49:26 PM,1,1,Streaming,88,12:06:27 AM,4
227,2451,Stewart,2021-01-04,5:35:31 PM,1,1,Admin Support,82,12:03:05 AM,2
228,2768,Jim,2021-01-04,5:35:31 PM,1,1,Technical Support,110,12:06:30 AM,3
229,1918,Martha,2021-01-04,5:39:50 PM,0,1,Admin Support,70,12:01:32 AM,3
230,2769,Becky,2021-01-04,5:39:50 PM,1,1,Admin Support,117,12:03:40 AM,3
231,2770,Joe,2021-01-05,9:08:38 AM,1,1,Streaming,18,12:00:50 AM,3
232,3711,Joe,2021-01-05,9:08:38 AM,1,1,Streaming,113,12:02:36 AM,4
233,2097,Stewart,2021-01-05,9:25:55 AM,0,1,Contract related,68,12:03:29 AM,5
234,4647,Greg,2021-01-05,9:25:55 AM,1,1,Payment related,67,12:04:14 AM,5
235,4648,Joe,2021-01-05,9:33:07 AM,1,1,Technical Support,36,12:01:07 AM,5
236,1178,Stewart,2021-01-05,9:33:07 AM,0,0,Streaming,,,
237,2164,Becky,2021-01-05,10:00:29 AM,1,1,Technical Support,33,12:02:30 AM,1
238,4649,Dan,2021-01-05,10:00:29 AM,1,1,Contract related,113,12:01:59 AM,5
239,2771,Greg,2021-01-05,10:49:26 AM,1,1,Contract related,106,12:06:19 AM,3
240,2772,Joe,2021-01-05,10:49:26 AM,1,1,Streaming,23,12:04:59 AM,3
241,1179,Joe,2021-01-05,11:31:12 AM,0,0,Streaming,,,
242,2165,Greg,2021-01-05,11:31:12 AM,1,1,Payment related,11,12:04:42 AM,1
243,4650,Greg,2021-01-05,11:41:17 AM,1,1,Contract related,73,12:04:45 AM,5
244,4651,Dan,2021-01-05,11:41:17 AM,1,1,Admin Support,109,12:04:49 AM,5
245,659,Martha,2021-01-05,11:49:55 AM,1,1,Payment related,29,12:04:14 AM,4
246,1180,Dan,2021-01-05,11:49:55 AM,0,0,Streaming,,,
247,3712,Becky,2021-01-05,11:49:55 AM,1,1,Admin Support,81,12:01:14 AM,4
248,346,Greg,2021-01-05,11:49:55 AM,1,1,Contract related,59,12:03:52 AM,1
249,3713,Becky,2021-01-05,12:00:00 PM,1,1,Streaming,32,12:06:29 AM,4
250,3714,Martha,2021-01-05,12:00:00 PM,1,1,Admin Support,116,12:00:42 AM,4
251,4652,Diane,2021-01-05,12:12:58 PM,1,1,Payment related,92,12:01:55 AM,5
252,4653,Greg,2021-01-05,12:12:58 PM,1,1,Streaming,62,12:06:02 AM,5
253,4654,Joe,2021-01-05,1:04:48 PM,1,1,Payment related,83,12:01:53 AM,5
254,2773,Joe,2021-01-05,1:04:48 PM,1,1,Admin Support,71,12:02:31 AM,3
255,1919,Greg,2021-01-05,1:59:31 PM,0,1,Admin Support,74,12:04:32 AM,3
256,3715,Joe,2021-01-05,1:59:31 PM,1,1,Technical Support,96,12:05:46 AM,4
257,347,Diane,2021-01-05,2:42:43 PM,1,1,Admin Support,110,12:01:41 AM,1
258,1920,Jim,2021-01-05,2:42:43 PM,0,1,Streaming,110,12:02:38 AM,3
259,3716,Dan,2021-01-05,3:18:43 PM,1,1,Technical Support,117,12:03:03 AM,4
260,2774,Becky,2021-01-05,3:18:43 PM,1,1,Admin Support,44,12:05:53 AM,3
261,3717,Diane,2021-01-05,3:20:10 PM,1,1,Contract related,47,12:06:02 AM,4
262,2775,Greg,2021-01-05,3:20:10 PM,1,1,Admin Support,97,12:01:16 AM,3
263,3718,Greg,2021-01-05,3:31:41 PM,1,1,Streaming,67,12:02:39 AM,4
264,2776,Diane,2021-01-05,3:31:41 PM,1,1,Streaming,72,12:06:48 AM,3
265,2777,Becky,2021-01-05,3:31:41 PM,1,1,Contract related,68,12:04:21 AM,3
266,4655,Joe,2021-01-05,3:31:41 PM,1,1,Payment related,98,12:06:22 AM,5
267,2778,Joe,2021-01-05,3:37:26 PM,1,1,Streaming,120,12:00:56 AM,3
268,2166,Dan,2021-01-05,3:37:26 PM,1,1,Payment related,13,12:02:33 AM,1
269,4656,Jim,2021-01-05,3:44:38 PM,1,1,Admin Support,95,12:01:47 AM,5
270,4657,Martha,2021-01-05,3:44:38 PM,1,1,Payment related,31,12:00:42 AM,5
271,2779,Dan,2021-01-05,4:06:14 PM,1,1,Streaming,113,12:06:22 AM,3
272,2780,Martha,2021-01-05,4:06:14 PM,1,1,Technical Support,116,12:04:40 AM,3
273,2098,Martha,2021-01-05,4:16:19 PM,0,1,Admin Support,94,12:05:29 AM,5
274,2001,Martha,2021-01-05,4:16:19 PM,0,1,Admin Support,51,12:04:42 AM,4
275,3719,Diane,2021-01-05,4:27:50 PM,1,1,Technical Support,60,12:04:07 AM,4
276,2452,Diane,2021-01-05,4:27:50 PM,1,1,Contract related,59,12:06:04 AM,2
277,1181,Stewart,2021-01-05,5:25:26 PM,0,0,Technical Support,,,
278,1182,Greg,2021-01-05,5:25:26 PM,0,0,Payment related,,,
279,1183,Joe,2021-01-05,5:29:46 PM,0,0,Technical Support,,,
280,3720,Dan,2021-01-05,5:29:46 PM,1,1,Contract related,16,12:03:33 AM,4
281,2781,Diane,2021-01-05,5:38:24 PM,1,1,Technical Support,81,12:01:51 AM,3
282,2167,Joe,2021-01-05,5:38:24 PM,1,1,Streaming,65,12:06:46 AM,1
283,2453,Martha,2021-01-05,5:44:10 PM,1,1,Streaming,55,12:03:04 AM,2
284,1184,Martha,2021-01-05,5:44:10 PM,0,0,Technical Support,,,
285,660,Martha,2021-01-05,5:57:07 PM,1,1,Technical Support,31,12:02:25 AM,4
286,2454,Diane,2021-01-05,5:57:07 PM,1,1,Streaming,45,12:05:13 AM,2
287,1185,Greg,2021-01-06,9:08:38 AM,0,0,Technical Support,,,
288,4658,Stewart,2021-01-06,9:08:38 AM,1,1,Payment related,43,12:02:09 AM,5
289,3721,Stewart,2021-01-06,10:06:14 AM,1,1,Technical Support,55,12:05:56 AM,4
290,2782,Stewart,2021-01-06,10:06:14 AM,1,1,Contract related,63,12:02:19 AM,3
291,1186,Joe,2021-01-06,10:07:41 AM,0,0,Payment related,,,
292,2168,Jim,2021-01-06,10:07:41 AM,1,1,Contract related,122,12:05:52 AM,1
293,3722,Stewart,2021-01-06,10:32:10 AM,1,1,Contract related,71,12:02:39 AM,4
294,3723,Jim,2021-01-06,10:32:10 AM,1,1,Technical Support,54,12:04:57 AM,4
295,661,Stewart,2021-01-06,10:42:14 AM,1,1,Streaming,74,12:03:22 AM,4
296,3724,Stewart,2021-01-06,10:42:14 AM,1,1,Admin Support,125,12:04:47 AM,4
297,2783,Dan,2021-01-06,11:12:29 AM,1,1,Payment related,110,12:03:43 AM,3
298,1187,Becky,2021-01-06,11:12:29 AM,0,0,Streaming,,,
299,4659,Martha,2021-01-06,11:29:46 AM,1,1,Technical Support,74,12:01:31 AM,5
300,662,Diane,2021-01-06,11:29:46 AM,1,1,Payment related,80,12:04:27 AM,4
301,1188,Dan,2021-01-06,11:38:24 AM,0,0,Payment related,,,
302,2455,Joe,2021-01-06,11:38:24 AM,1,1,Contract related,110,12:03:54 AM,2
303,513,Stewart,2021-01-06,11:45:36 AM,1,1,Payment related,26,12:03:08 AM,3
304,1189,Greg,2021-01-06,11:45:36 AM,0,0,Technical Support,,,
