Phone_Service_ID,Customer_ID,Multiple_Lines,Avg_Monthly_Long_Distance_Charges,Total_Long_Distance_Charges
222,222,1,10.43,427.63
223,223,0,0,0
224,224,0,2.6,15.6
225,225,1,2,92
226,226,0,2.74,41.1
227,227,1,3.51,203.58
228,228,0,34.04,782.92
229,229,0,47.95,1486.45
230,230,0,12.95,142.45
231,231,1,17.33,970.48
232,232,0,12.87,321.75
233,233,0,0,0
234,234,0,26.03,1041.2
235,235,1,24.66,887.76
236,236,1,27.69,886.08
237,237,1,10.11,717.81
238,238,1,10.11,171.87
239,239,0,31.79,572.22
240,240,1,11.73,434.01
241,241,0,44.34,88.68
242,242,0,12.94,362.32
243,243,0,0,0
244,244,0,38.33,38.33
245,245,0,23.46,1524.9
246,246,0,15.59,46.77
247,247,0,0,0
248,248,0,41.33,1487.88
249,249,1,38.69,889.87
250,250,0,42.58,936.76
251,251,1,4.56,328.32
252,252,1,17.91,304.47
253,253,0,10.6,31.8
254,254,0,17.22,998.76
255,255,0,45.25,3031.75
256,256,0,35,1190
257,257,0,4.42,44.2
258,258,1,18.47,1274.43
259,259,0,0,0
260,260,0,12.6,252
261,261,0,47.5,2185
262,262,0,9.79,19.58
263,263,0,15.28,15.28
264,264,1,6.58,473.76
265,265,1,1.22,85.4
266,266,0,49.91,99.82
267,267,0,1.58,36.34
268,268,1,40.58,1460.88
269,269,1,10.78,636.02
270,270,0,47.31,3169.77
271,271,1,8.33,599.76
272,272,1,24.04,889.48
273,273,1,20.56,1480.32
274,274,0,27.97,2013.84
275,275,1,14.6,43.8
276,276,1,33.49,1808.46
277,277,1,35.22,2113.2
278,278,1,37.95,2201.1
279,279,0,12.03,372.93
280,280,1,20.1,60.3
281,281,0,12.28,675.4
282,282,0,26.53,26.53
283,283,0,14.21,696.29
284,284,0,0,0
285,285,1,10.03,391.17
286,286,1,37.71,2488.86
287,287,0,34.63,519.45
288,288,1,47.72,2433.72
289,289,0,7.11,63.99
290,290,0,15.51,15.51
291,291,0,3.58,89.5
292,292,0,48.68,1070.96
293,293,1,11.75,176.25
294,294,0,18.31,512.68
295,295,0,5.39,16.17
296,296,1,38.15,1793.05
297,297,1,8.71,583.57
298,298,0,21.09,379.62
299,299,0,33.7,2089.4
300,300,1,6.16,252.56
301,301,1,18.42,810.48
302,302,0,33.88,1795.64
303,303,0,33.06,1586.88
304,304,1,43.71,2360.34
305,305,0,0,0
306,306,1,25.68,616.32
307,307,0,34.85,1150.05
308,308,1,42.85,2828.1
309,309,0,1.67,5.01
310,310,0,0,0
311,311,1,13.45,847.35
312,312,0,38.81,892.63
313,313,1,23.12,1202.24
314,314,0,16.39,49.17
315,315,0,30.3,303
316,316,0,14.17,1020.24
317,317,0,48.2,1397.8
318,318,1,22.74,1409.88
319,319,1,15.91,652.31
320,320,1,49.13,2112.59
321,321,0,2.48,64.48
322,322,0,10.68,202.92
323,323,1,47.6,3427.2
324,324,1,34.12,1535.4
325,325,0,15.52,496.64
326,326,1,41.21,1689.61
327,327,1,36.5,2372.5
328,328,1,49.06,2698.3
329,329,0,40.76,448.36
330,330,0,7.51,367.99
331,331,1,15.15,924.15
332,332,0,19.09,477.25
333,333,0,8.31,8.31
334,334,0,25.85,594.55
335,335,1,28.54,599.34
336,336,0,33.88,33.88
337,337,1,6.66,33.3
338,338,0,32.86,788.64
339,339,1,16.94,457.38
340,340,0,11.71,819.7
341,341,0,42.33,211.65
342,342,0,45.92,2112.32
343,343,0,29.03,58.06
344,344,0,26.67,1520.19
345,345,0,10.19,10.19
346,346,1,27.68,1660.8
347,347,1,4.5,166.5
348,348,0,42.87,42.87
349,349,0,7.73,216.44
350,350,0,18.39,441.36
351,351,1,23.88,1480.56
352,352,0,8.95,161.1
353,353,0,3.61,18.05
354,354,0,42.46,849.2
355,355,0,26,26
356,356,0,39.84,1394.4
357,357,0,0,0
358,358,1,4.82,144.6
359,359,0,0,0
360,360,1,46.38,695.7
361,361,1,26.67,1866.9
362,362,1,32.12,2119.92
363,363,1,42.9,2359.5
364,364,1,42.82,2355.1
365,365,1,48.16,2745.12
366,366,1,44.2,3182.4
367,367,0,42.33,1185.24
368,368,0,14.18,765.72
369,369,1,4.06,97.44
370,370,0,48.39,96.78
371,371,0,19.38,232.56
372,372,1,24.92,1270.92
373,373,0,40.99,532.87
374,374,0,47.47,2753.26
375,375,0,44.97,809.46
376,376,0,49.96,1448.84
377,377,1,21.84,1572.48
378,378,1,18.99,1348.29
379,379,0,0,0
380,380,1,19.22,172.98
381,381,1,38.71,774.2
382,382,1,29.38,2027.22
383,383,1,21.45,1351.35
384,384,0,15.84,110.88
385,385,0,0,0
386,386,1,40.05,200.25
387,387,0,32.57,293.13
388,388,1,49.26,2265.96
389,389,0,17.05,1023
390,390,1,39.49,1066.23
391,391,1,27.83,445.28
392,392,0,4.01,88.22
393,393,1,14.73,603.93
394,394,0,35.67,142.68
395,395,1,44.09,1058.16
396,396,0,43.19,1641.22
397,397,1,28.05,701.25
398,398,0,39.22,1568.8
399,399,0,37.79,302.32
400,400,0,40.2,522.6
401,401,1,34.58,2213.12
402,402,0,48.58,3011.96
403,403,0,43.49,869.8
404,404,0,0,0
405,405,0,36.14,2059.98
406,406,0,27.07,324.84
407,407,1,42.37,2499.83
408,408,0,8.28,488.52
409,409,0,26.21,1389.13
410,410,1,39.82,1791.9
411,411,0,1.87,93.5
412,412,0,18.05,361
413,413,0,0,0
414,414,0,38.63,2704.1
415,415,0,0,0
416,416,0,0,0
417,417,1,19.08,934.92
418,418,0,44.28,1239.84
419,419,1,47.83,3443.76
420,420,0,34.18,444.34
421,421,0,39.04,156.16
422,422,0,10.32,546.96
423,423,1,21.15,1332.45
424,424,0,0,0
425,425,0,48.87,2736.72
426,426,0,34.44,344.4
427,427,1,2.72,176.8
428,428,0,16.42,16.42
429,429,0,0,0
430,430,0,34.44,998.76
431,431,1,37.98,2734.56
432,432,0,19.8,435.6
433,433,1,3.55,81.65
434,434,1,23.74,949.6
435,435,1,17.22,34.44
436,436,0,29.92,388.96
437,437,1,18.99,303.84
438,438,1,37.5,2512.5
439,439,0,5.7,410.4
440,440,0,44.97,134.91
441,441,1,38.31,1800.57
442,442,0,6.18,24.72
443,443,0,7.51,135.18
444,444,1,42.65,895.65
445,445,0,42.05,2607.1
446,446,1,9.25,64.75
447,447,0,10.06,291.74
448,448,1,44.72,2146.56
449,449,1,31.86,1688.58
450,450,0,30.01,180.06
451,451,0,7.68,168.96
452,452,0,0,0
453,453,1,34.95,2516.4
454,454,0,29.66,1008.44
455,455,1,17.03,817.44
456,456,0,0,0
457,457,1,16.57,1176.47
458,458,0,28.18,28.18
459,459,0,30.09,30.09
460,460,1,43.54,1393.28
461,461,0,36.33,36.33
462,462,1,42.59,2683.17
463,463,1,28.86,2077.92
464,464,1,12.92,684.76
465,465,0,37.3,37.3
466,466,0,31.83,1591.5
467,467,1,40.7,610.5
468,468,0,14.81,311.01
469,469,0,12.04,12.04
470,470,0,9.86,19.72
471,471,1,26.75,1738.75
472,472,0,16.87,877.24
473,473,0,35.4,460.2
474,474,0,18.28,73.12
475,475,1,2.37,109.02
476,476,0,40.62,2152.86
477,477,1,16.73,669.2
478,478,0,8.4,193.2
479,479,1,6.91,27.64
480,480,0,0,0
481,481,1,8.18,400.82
482,482,0,32.31,290.79
483,483,1,26.16,104.64
484,484,0,10.94,667.34
485,485,1,47.27,3308.9
486,486,1,14.32,186.16
487,487,1,45.28,1539.52
488,488,1,17.56,158.04
489,489,1,2.21,125.97
490,490,1,36.24,434.88
491,491,0,39.02,273.14
492,492,1,26.23,104.92
493,493,1,31.27,31.27
494,494,1,49.57,2181.08
495,495,0,0,0
496,496,1,44.7,1609.2
497,497,1,37.38,2055.9
498,498,1,49.35,3405.15
499,499,0,19.18,172.62
500,500,1,15.71,1115.41
501,501,1,41.66,1249.8
502,502,0,5.65,293.8
503,503,1,5.32,276.64
504,504,1,8.99,215.76
505,505,0,25.04,75.12
506,506,0,0,0
507,507,1,28.86,2077.92
508,508,0,9.67,38.68
509,509,0,33.41,33.41
510,510,0,17.95,915.45
511,511,0,0,0
512,512,1,11.41,821.52
513,513,1,27.74,1775.36
514,514,0,0,0
515,515,0,39.63,2774.1
516,516,0,0,0
517,517,0,31.31,1628.12
518,518,0,47.19,330.33
519,519,0,24.57,98.28
520,520,0,37.43,74.86
521,521,0,0,0
522,522,1,36.09,1948.86
523,523,0,25.62,25.62
524,524,0,0,0
525,525,1,45.57,3007.62
526,526,1,46.45,743.2
527,527,0,49.4,148.2
528,528,1,16.71,183.81
529,529,0,0,0
530,530,0,0,0
531,531,0,1.69,96.33
532,532,1,48.71,438.39
533,533,1,32.28,2001.36
534,534,0,31.93,2298.96
535,535,1,3.57,235.62
536,536,0,0,0
537,537,0,33.44,535.04
538,538,0,27.93,1619.94
539,539,1,6.5,26
540,540,0,27.16,1955.52
541,541,1,23.13,1549.71
542,542,1,3.57,253.47
543,543,1,26.01,1872.72
544,544,0,24.27,364.05
545,545,0,0,0
546,546,1,28.03,1205.29
547,547,0,26.04,78.12
548,548,1,31.62,758.88
549,549,1,21.38,1111.76
550,550,0,0,0
551,551,0,49.6,49.6
552,552,1,26.3,1446.5
553,553,0,1.31,55.02
554,554,0,27.67,55.34
555,555,0,5.63,5.63
556,556,1,42.91,1158.57
557,557,1,29.87,507.79
558,558,0,0,0
559,559,1,3.43,92.61
560,560,0,0,0
561,561,1,1.57,70.65
562,562,0,39.44,2800.24
563,563,0,8.5,306
564,564,0,9.74,146.1
565,565,0,30.52,610.4
566,566,0,23.34,1657.14
567,567,0,47.31,1135.44
568,568,1,41.92,2976.32
569,569,0,0,0
570,570,1,36.36,2399.76
571,571,0,9.27,278.1
572,572,0,36.78,1728.66
573,573,1,25.17,176.19
574,574,0,0,0
575,575,0,40.32,1854.72
576,576,1,16.43,870.79
577,577,0,24.48,1517.76
578,578,0,0,0
579,579,0,10.5,168
580,580,0,30.54,458.1
581,581,0,1.03,46.35
582,582,1,6.15,442.8
583,583,0,42.23,548.99
584,584,0,45.67,274.02
585,585,0,28.06,505.08
586,586,1,16.09,1094.12
587,587,1,6.83,437.12
588,588,1,34.41,1169.94
589,589,0,45.69,228.45
590,590,1,36.6,732
591,591,0,4.76,304.64
592,592,0,46.24,1202.24
593,593,0,24.32,121.6
594,594,0,6.85,13.7
595,595,1,30.55,397.15
596,596,1,20.5,1209.5
597,597,1,47.45,806.65
598,598,0,45.41,408.69
599,599,0,16.85,168.5
600,600,0,43.51,217.55
601,601,1,43.47,2347.38
602,602,1,37.15,2080.4
603,603,1,9.56,38.24
604,604,0,28.02,56.04
605,605,1,41.13,2550.06
606,606,0,45.82,1237.14
607,607,0,5.55,5.55
608,608,0,38.35,2032.55
609,609,1,35.46,1914.84
610,610,0,46.4,1067.2
611,611,0,1.57,9.42
612,612,0,0,0
613,613,1,31.08,341.88
614,614,1,21.96,1339.56
615,615,1,33.55,1140.7
616,616,1,37.99,2127.44
617,617,0,22.23,844.74
618,618,0,23.55,1624.95
619,619,1,35.71,2571.12
620,620,1,46.2,3234
621,621,0,0,0
622,622,1,43.48,2652.28
623,623,1,41.89,2303.95
624,624,1,4.69,286.09
625,625,1,14.39,201.46
626,626,1,6.03,434.16
627,627,1,11.46,252.12
628,628,0,46.36,139.08
629,629,1,24.68,1480.8
630,630,1,17.87,53.61
631,631,0,30.63,30.63
632,632,0,21.58,151.06
633,633,0,0,0
634,634,0,44.99,584.87
635,635,0,17.42,52.26
636,636,1,41.8,2633.4
637,637,0,44.87,1615.32
638,638,0,34.27,1850.58
639,639,0,8.85,415.95
640,640,0,8.44,346.04
641,641,0,25.33,329.29
642,642,1,10.49,367.15
643,643,1,17.07,170.7
644,644,0,15.94,478.2
645,645,0,26.25,1155
646,646,1,29.15,1370.05
647,647,1,3.18,184.44
648,648,0,0,0
649,649,0,39.21,274.47
650,650,0,5.37,107.4
651,651,1,3.36,43.68
652,652,0,0,0
653,653,0,48.97,2644.38
654,654,0,33.13,430.69
655,655,0,30.99,216.93
656,656,1,6.42,269.64
657,657,1,39.52,2568.8
658,658,1,4.76,233.24
659,659,0,2.41,149.42
660,660,0,25.21,806.72
661,661,0,49.19,541.09
662,662,0,30.6,30.6
663,663,0,43.68,1616.16
664,664,0,42.46,42.46
665,665,0,42.42,42.42
666,666,1,39.78,2744.82
667,667,0,43.12,3104.64
668,668,1,25.63,666.38
669,669,0,0,0
670,670,0,0,0
671,671,1,48.8,3367.2
672,672,0,4.62,120.12
673,673,0,0,0
674,674,0,48.09,1586.97
675,675,1,9.72,699.84
676,676,0,41.38,124.14
677,677,0,20.86,375.48
678,678,0,40.55,2757.4
679,679,0,4.03,76.57
680,680,0,41.14,287.98
681,681,0,4.11,4.11
682,682,0,10.57,591.92
683,683,0,16.04,112.28
684,684,0,20.86,104.3
685,685,1,28.06,1851.96
686,686,0,49.16,344.12
687,687,0,5.02,5.02
688,688,0,41.85,334.8
689,689,1,15.05,933.1
690,690,1,2.8,156.8
691,691,1,32.66,1339.06
692,692,0,24.67,1406.19
693,693,0,0,0
694,694,0,30.09,1143.42
695,695,1,21.58,237.38
696,696,0,37.51,975.26
697,697,0,12.96,933.12
698,698,1,48.02,1440.6
699,699,0,38.44,38.44
700,700,0,27.05,27.05
701,701,1,7.47,507.96
702,702,1,18.14,1142.82
703,703,0,39.76,2385.6
704,704,0,4.7,89.3
705,705,0,37.65,451.8
706,706,0,40.78,1671.98
707,707,0,39.9,997.5
708,708,1,28.4,2016.4
709,709,1,13.2,739.2
710,710,0,43.05,344.4
711,711,0,3.8,76
712,712,0,3.18,136.74
713,713,0,0,0
714,714,0,4.17,183.48
715,715,0,27.17,54.34
716,716,0,20.49,1454.79
717,717,0,14.46,1041.12
718,718,0,18.2,327.6
719,719,1,2.67,178.89
720,720,1,13.94,780.64
721,721,0,4.99,4.99
722,722,0,20.32,1402.08
723,723,0,47.46,47.46
724,724,0,33.58,33.58
725,725,0,18.87,471.75
726,726,1,16.37,16.37
727,727,1,12.21,671.55
728,728,0,43.39,2299.67
729,729,0,31.43,1854.37
730,730,1,15.16,242.56
731,731,0,28.5,199.5
732,732,0,0,0
733,733,1,29.43,1883.52
734,734,0,33.93,1730.43
735,735,0,27.97,27.97
736,736,0,23.47,1619.43
737,737,0,16.55,16.55
738,738,0,6.97,264.86
739,739,0,13.28,39.84
740,740,1,37.58,2104.48
741,741,1,34.02,2143.26
742,742,0,11.86,130.46
743,743,0,46.3,1111.2
744,744,0,27.25,1962
745,745,1,23.02,1588.38
746,746,1,42.37,2372.72
747,747,0,30.61,520.37
748,748,1,39.56,712.08
749,749,0,17.12,188.32
750,750,0,0,0
751,751,1,14.22,668.34
752,752,1,17.49,1066.89
753,753,1,37.84,2497.44
754,754,0,32.16,1350.72
755,755,0,27.75,1526.25
756,756,0,9.44,9.44
757,757,0,0,0
758,758,0,30.09,30.09
759,759,0,0,0
760,760,1,31.13,466.95
761,761,1,9.31,260.68
762,762,1,24.35,681.8
763,763,0,22.96,918.4
764,764,1,5.17,325.71
765,765,1,4.28,64.2
766,766,0,5.63,78.82
767,767,1,6.7,361.8
768,768,0,37.94,1479.66
769,769,0,0,0
770,770,0,6.86,109.76
771,771,1,5.07,223.08
772,772,0,37.68,37.68
773,773,0,14.18,978.42
774,774,0,35.65,1746.85
775,775,1,42.66,1023.84
776,776,1,30.72,2181.12
777,777,0,41.57,2535.77
778,778,0,18.8,338.4
779,779,0,41.48,1119.96
780,780,1,39.37,2519.68
781,781,0,16.47,16.47
782,782,1,46.49,2324.5
783,783,0,17.33,519.9
784,784,0,0,0
785,785,1,9.84,167.28
786,786,0,14.37,732.87
787,787,0,0,0
788,788,1,14.07,28.14
789,789,1,48.04,2882.4
790,790,1,32.15,2154.05
791,791,0,0,0
792,792,0,42.24,1605.12
793,793,0,37.62,37.62
794,794,1,30.07,30.07
795,795,0,45.54,728.64
796,796,1,18.74,1349.28
797,797,1,28.55,1170.55
798,798,1,13.25,861.25
799,799,0,17.33,1247.76
800,800,0,49.94,3345.98
801,801,1,22.52,1103.48
802,802,1,34.05,646.95
803,803,1,34.49,2379.81
804,804,1,10.07,473.29
805,805,1,27.93,1480.29
806,806,1,18.74,505.98
807,807,1,10.95,120.45
808,808,1,26.28,735.84
809,809,1,37.57,1991.21
810,810,0,18.57,352.83
811,811,0,2.78,8.34
812,812,0,1.39,31.97
813,813,0,11.3,113
814,814,1,44.55,2806.65
815,815,0,36.18,1374.84
816,816,0,0,0
817,817,1,18.42,497.34
818,818,0,27.88,27.88
819,819,0,5.43,70.59
820,820,1,38.07,266.49
821,821,1,4.29,17.16
822,822,1,44.63,357.04
823,823,0,23.99,287.88
824,824,0,2.24,15.68
825,825,0,4.24,237.44
826,826,1,19.21,998.92
827,827,1,5.8,133.4
828,828,0,13.18,263.6
829,829,0,0,0
830,830,0,18.26,54.78
831,831,0,48.89,293.34
832,832,0,46.91,2345.5
833,833,1,42.88,2572.8
834,834,0,0,0
835,835,1,5.97,268.65
836,836,0,4.46,111.5
837,837,0,37.09,1594.87
838,838,0,19.48,233.76
839,839,1,42.41,381.69
840,840,0,23.18,1437.16
841,841,0,1.89,75.6
842,842,1,38.28,229.68
843,843,0,3.87,77.4
844,844,0,39.52,632.32
845,845,0,28.37,226.96
846,846,0,21.28,42.56
847,847,1,2.95,212.4
848,848,1,20.88,1044
849,849,1,3.26,68.46
850,850,1,46.44,2972.16
851,851,1,42.68,128.04
852,852,0,29.31,1699.98
853,853,0,11.31,158.34
854,854,0,10.67,192.06
855,855,1,43.3,2901.1
856,856,0,40.83,40.83
857,857,1,11.53,703.33
858,858,0,21.98,1142.96
859,859,0,14.61,204.54
860,860,0,14.64,629.52
861,861,1,40.33,2097.16
862,862,1,44.31,88.62
863,863,1,8.75,35
864,864,1,39.36,1220.16
865,865,0,8.04,40.2
866,866,1,35.76,965.52
867,867,0,40.15,160.6
868,868,0,0,0
869,869,0,31.75,285.75
870,870,1,47.38,2605.9
871,871,0,0,0
872,872,1,26.58,1887.18
873,873,0,16.06,947.54
874,874,1,1.98,134.64
875,875,1,16.61,1063.04
876,876,1,14.65,1054.8
877,877,1,9.93,158.88
878,878,0,36.86,1621.84
879,879,0,12.85,385.5
880,880,0,0,0
881,881,1,5.4,210.6
882,882,0,17.28,259.2
883,883,1,12.86,51.44
884,884,0,0,0
885,885,0,23.2,23.2
886,886,1,4.32,311.04
887,887,0,6.9,496.8
888,888,0,23.77,831.95
889,889,1,32.11,2183.48
890,890,1,33.67,2390.57
891,891,1,30.33,2123.1
892,892,0,0,0
893,893,0,21.23,1401.18
894,894,0,48.46,969.2
895,895,0,27.87,1532.85
896,896,0,14.91,134.19
897,897,1,43.96,87.92
898,898,1,2.56,184.32
899,899,0,31.7,1553.3
900,900,0,27.91,669.84
901,901,1,13.51,567.42
902,902,1,21.83,458.43
903,903,1,7.04,366.08
904,904,1,38.32,689.76
905,905,0,39,468
906,906,1,27.88,2007.36
907,907,1,47.51,142.53
908,908,1,23.04,1198.08
909,909,0,0,0
910,910,1,41.74,2212.22
911,911,1,17.19,257.85
912,912,1,48,3360
913,913,0,25.54,459.72
914,914,0,0,0
915,915,1,28.87,1558.98
916,916,0,0,0
917,917,1,9.76,663.68
918,918,1,46.1,3319.2
919,919,0,46.61,2563.55
920,920,0,0,0
921,921,0,25.8,103.2
922,922,0,0,0
923,923,1,13.58,556.78
924,924,1,5.92,59.2
925,925,1,48.95,3083.85
926,926,0,17.53,105.18
927,927,0,26.02,364.28
928,928,0,17.73,1081.53
929,929,1,33.69,437.97
930,930,0,40.49,2591.36
931,931,0,12,12
932,932,1,34.69,2497.68
933,933,1,13.55,365.85
934,934,0,6.03,132.66
935,935,0,28.76,316.36
936,936,0,29.09,116.36
937,937,1,9.1,63.7
938,938,0,46.59,279.54
939,939,1,38.29,1914.5
940,940,0,21.14,232.54
941,941,0,22.05,1190.7
942,942,0,0,0
943,943,1,17.72,1187.24
944,944,0,39.1,39.1
945,945,1,33.18,1526.28
946,946,0,0,0
947,947,1,13.67,656.16
948,948,0,28.56,1142.4
949,949,1,15.69,172.59
950,950,1,49.5,198
951,951,0,10.74,322.2
952,952,1,30.22,453.3
953,953,0,48.22,337.54
954,954,1,34.18,546.88
955,955,0,45.99,413.91
956,956,0,33.18,232.26
957,957,1,26.32,78.96
958,958,1,15.29,305.8
959,959,0,18.33,201.63
960,960,0,2.7,2.7
961,961,0,44.44,1955.36
962,962,0,0,0
963,963,0,47.51,1140.24
964,964,0,5.07,106.47
965,965,0,0,0
966,966,0,12.26,698.82
967,967,0,16.14,177.54
968,968,1,41.3,123.9
969,969,1,16.78,956.46
970,970,0,24.22,557.06
971,971,0,40.36,726.48
972,972,0,48.57,3399.9
973,973,0,28.4,937.2
974,974,0,6.35,6.35
975,975,0,45.33,135.99
976,976,1,32.56,1758.24
977,977,0,49.98,349.86
978,978,0,1.07,74.9
979,979,0,30.23,30.23
980,980,1,33.48,1004.4
981,981,1,43.11,1379.52
982,982,0,28.28,28.28
983,983,0,7,392
984,984,0,5.4,59.4
985,985,1,20.8,1081.6
986,986,0,36.65,439.8
987,987,0,0,0
988,988,0,1.62,53.46
989,989,0,46.45,1021.9
990,990,0,0,0
991,991,0,37.08,370.8
992,992,0,1.75,45.5
993,993,0,0,0
994,994,0,39.45,2603.7
995,995,1,17.17,1201.9
996,996,0,2.2,2.2
997,997,0,17.55,1000.35
998,998,1,43.01,2494.58
999,999,0,35.71,35.71
1000,1000,0,15.12,45.36
1001,1001,1,14.53,145.3
1002,1002,0,35.59,1993.04
1003,1003,1,29.54,649.88
