Customer_ID,Location_ID,Status_ID,Churn_reason_ID,Contract_ID,Number_Of_Referrals,Referred_A_Friend,Gender,Age,Married,Dependents,Number_Of_Dependents,Quarter,Tenure_In_Months,Offer,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Revenue,CLTV,Churn_Score,Satisfaction_Score
13,13,2,,1,0,0,Female,58,1,0,0,Q3,5,None,1,Bank Withdrawal,68.95,351.5,0,444.75,5536,57,3
14,14,2,,3,0,0,Female,32,0,0,0,Q3,72,Offer A,1,Bank Withdrawal,101.3,7261.25,0,7423.25,5513,53,3
15,15,2,,3,0,0,Female,39,0,0,0,Q3,56,None,0,Bank Withdrawal,45.05,2560.1,0,2560.1,5795,37,3
16,16,2,,3,9,1,Female,58,1,1,2,Q3,71,Offer A,1,Credit Card,95.75,6849.4,0,8784.86,4865,26,5
17,17,2,,2,0,0,Female,52,1,1,1,Q3,34,None,0,Credit Card,61.25,1993.2,0,1993.2,3607,37,4
18,18,1,,2,0,0,Female,72,0,0,0,Q3,1,Offer E,1,Bank Withdrawal,72.1,72.1,0,79.87,4432,50,4
19,19,3,3,2,0,0,Male,79,0,0,0,Q3,45,None,0,Credit Card,62.7,2791.5,0,3271.65,2654,92,1
20,20,3,2,1,0,0,Male,67,0,0,0,Q3,1,None,1,Bank Withdrawal,25.1,25.1,0,25.1,5437,85,3
21,21,2,,2,0,0,Female,79,1,0,0,Q3,50,None,0,Bank Withdrawal,25.2,1306.3,0,2877.8,4015,61,3
22,22,3,6,1,1,1,Female,26,1,0,0,Q3,13,None,0,Bank Withdrawal,94.1,1215.6,0,1781.88,2973,75,1
23,23,2,,1,1,1,Female,30,1,1,2,Q3,23,Offer D,1,Bank Withdrawal,83.75,1849.95,0,2652.88,3585,78,4
24,24,1,,1,0,0,Female,22,0,0,0,Q3,3,None,0,Credit Card,19.85,57.2,0,66.56,5634,59,4
25,25,3,10,1,0,0,Female,34,1,0,0,Q3,4,Offer E,0,Credit Card,20.35,76.35,0,126.07,4133,81,1
26,26,3,17,1,1,1,Female,37,1,1,1,Q3,1,None,0,Bank Withdrawal,30.5,30.5,0,30.5,5171,74,1
27,27,2,,2,10,1,Female,37,1,1,3,Q3,55,None,1,Bank Withdrawal,103.7,5656.75,0,7603.95,5892,65,3
28,28,2,,3,3,1,Male,42,1,1,3,Q3,54,None,0,Credit Card,20.4,1090.6,0,2154.4,6393,60,4
29,29,2,,2,0,0,Male,64,0,0,0,Q3,26,Offer C,1,Bank Withdrawal,19.6,471.85,21.25,1430.8,3722,26,4
30,30,2,,3,5,1,Female,47,1,1,3,Q3,69,None,0,Bank Withdrawal,19.7,1396.9,0,4045.81,4131,76,5
31,31,2,,2,1,1,Male,23,1,1,3,Q3,37,Offer C,0,Credit Card,91.2,3247.55,0,4838.92,5263,55,5
32,32,2,,2,5,1,Female,48,1,0,0,Q3,49,Offer B,0,Bank Withdrawal,20.45,900.9,0,3330.32,6061,20,3
33,33,2,,2,9,1,Male,28,1,0,0,Q3,66,None,0,Bank Withdrawal,115.8,7942.15,0,10830.97,5845,42,3
34,34,2,,2,0,0,Female,28,0,0,0,Q3,67,None,0,Bank Withdrawal,20.55,1343.4,30.53,2861.91,5462,72,5
35,35,2,,3,4,1,Male,33,1,1,1,Q3,20,None,1,Credit Card,39.4,825.4,0,825.4,3899,29,3
36,36,2,,3,0,0,Female,31,0,1,3,Q3,43,None,1,Bank Withdrawal,25.1,1070.15,0,2387.67,4797,59,4
37,37,2,,1,2,1,Female,37,1,0,0,Q3,55,Offer B,1,Bank Withdrawal,89.8,4959.6,0,5239,5875,42,3
38,38,2,,1,4,1,Female,60,1,0,0,Q3,59,Offer B,1,Bank Withdrawal,94.75,5597.65,0,6564.66,5238,26,3
39,39,2,,3,3,1,Female,48,1,1,3,Q3,12,None,0,Bank Withdrawal,20.3,224.5,0,455.86,5190,57,5
40,40,2,,1,7,1,Male,60,1,1,3,Q3,27,Offer C,1,Bank Withdrawal,75.75,1929,0,2611.02,4994,46,3
41,41,3,2,1,0,0,Male,69,0,0,0,Q3,2,None,1,Bank Withdrawal,49.25,91.1,0,179.08,3475,95,2
42,42,2,,2,0,0,Female,20,0,0,0,Q3,27,Offer C,0,Credit Card,78.2,2078.95,0,3399.52,2297,54,3
43,43,2,,3,1,1,Male,31,1,1,3,Q3,25,None,0,Credit Card,25.5,630.6,44.42,1178.43,5230,65,3
44,44,2,,2,5,1,Male,46,1,0,0,Q3,25,None,1,Bank Withdrawal,61.6,1611,44.9,1727.35,3807,66,3
45,45,2,,1,0,0,Male,57,0,1,1,Q3,29,None,1,Credit Card,45,1242.45,12.26,1230.19,3290,73,4
46,46,2,,3,5,1,Male,19,1,0,0,Q3,72,None,1,Bank Withdrawal,85.15,6316.2,0,8646.12,6322,76,3
47,47,2,,2,0,0,Female,64,0,0,0,Q3,14,None,0,Credit Card,51.45,727.85,0,1064.41,4298,57,3
48,48,2,,2,0,0,Female,38,0,0,0,Q3,35,Offer C,1,Bank Withdrawal,99.25,3532,0,4806.7,3244,36,3
49,49,1,,1,0,0,Male,54,0,0,0,Q3,1,Offer E,1,Credit Card,44.3,44.3,0,87.25,4427,57,5
50,50,2,,1,0,0,Male,50,0,0,0,Q3,29,None,1,Bank Withdrawal,94.2,2607.6,0,2687.05,4561,60,5
51,51,2,,2,0,0,Male,25,0,0,0,Q3,64,None,0,Bank Withdrawal,81.25,5567.55,0,5958.91,4761,67,3
52,52,2,,1,1,1,Female,35,1,1,3,Q3,39,None,1,Credit Card,99.95,3767.4,0,4718.22,4447,43,3
53,53,2,,3,0,0,Female,72,0,0,0,Q3,40,None,1,Bank Withdrawal,91.55,3673.6,0,5439.2,5742,59,3
54,54,3,5,1,0,0,Male,51,0,0,0,Q3,40,None,1,Credit Card,104.5,4036.85,0,5544.45,2832,93,1
55,55,3,9,1,0,0,Female,78,0,1,1,Q3,11,Offer D,1,Bank Withdrawal,95,1120.3,0,1367.79,5980,85,1
56,56,2,,1,10,1,Female,30,1,0,0,Q3,6,Offer E,0,Bank Withdrawal,50.35,314.55,0,570.51,3442,74,3
57,57,2,,1,0,0,Male,58,0,0,0,Q3,30,None,1,Mailed Check,64.5,1888.45,0,1967.65,5039,48,3
58,58,2,,1,0,0,Male,26,0,0,0,Q3,27,None,1,Bank Withdrawal,19.4,529.8,0,1087.62,3792,39,5
59,59,2,,2,3,1,Male,66,1,0,0,Q3,70,None,1,Bank Withdrawal,104.8,7308.95,6.11,10067.14,5291,57,5
60,60,2,,2,10,1,Female,20,1,0,0,Q3,57,Offer B,1,Bank Withdrawal,109.4,6252.7,0,6709.27,6026,65,5
61,61,2,,2,10,1,Male,61,1,0,0,Q3,58,None,0,Credit Card,50.3,2878.55,10.23,3933.78,5232,30,5
62,62,2,,1,0,0,Male,24,0,0,0,Q3,16,None,1,Bank Withdrawal,71.4,1212.1,0,1623.46,3360,39,5
63,63,2,,3,3,1,Female,55,1,0,0,Q3,69,Offer A,1,Bank Withdrawal,116,8182.85,0,10840.73,4216,37,3
64,64,3,12,1,0,0,Male,32,0,0,0,Q3,1,Offer E,1,Bank Withdrawal,19.85,19.85,0,51.62,3874,66,2
65,65,3,5,1,0,0,Male,59,0,0,0,Q3,1,None,1,Bank Withdrawal,99.75,99.75,0,140.46,4214,93,1
66,66,2,,2,9,1,Male,71,1,1,1,Q3,32,Offer C,1,Mailed Check,93.95,2861.45,0,3880.97,2844,62,5
67,67,2,,1,8,1,Male,49,1,1,2,Q3,16,Offer D,1,Bank Withdrawal,90.8,1442.2,0,2221.56,5560,66,3
68,68,3,14,2,1,1,Male,61,1,0,0,Q3,49,Offer B,0,Bank Withdrawal,84.35,4059.35,0,5997.3,6452,73,2
69,69,2,,3,2,1,Female,40,1,0,0,Q3,71,Offer A,0,Bank Withdrawal,58.25,4145.9,0,4145.9,5224,76,5
70,70,2,,1,0,0,Female,39,0,0,0,Q3,33,None,0,Bank Withdrawal,107.55,3645.5,0,5285.27,4800,33,3
71,71,2,,1,9,1,Female,21,1,0,0,Q3,10,Offer D,1,Bank Withdrawal,19.95,187.75,0,683.75,3831,54,4
72,72,3,17,1,1,1,Male,24,1,0,0,Q3,21,None,1,Bank Withdrawal,111.2,2317.1,0,3198.56,4123,89,3
73,73,3,1,1,1,1,Male,52,1,1,1,Q3,37,None,0,Bank Withdrawal,40.2,1448.8,0,1448.8,3627,80,2
74,74,2,,1,0,0,Female,71,0,0,0,Q3,26,None,1,Credit Card,85.8,2193.65,0,3070.89,5700,46,3
75,75,2,,2,0,0,Male,45,0,0,0,Q3,50,Offer B,1,Credit Card,35.4,1748.9,0,1748.9,5052,36,3
76,76,3,2,1,0,0,Female,29,0,0,0,Q3,7,None,1,Bank Withdrawal,73.85,511.25,13.03,698.56,2473,67,3
77,77,2,,3,1,1,Female,62,1,0,0,Q3,61,Offer B,0,Mailed Check,88.1,5526.75,0,8405.34,5152,40,4
78,78,3,17,1,0,0,Male,42,0,0,0,Q3,15,Offer D,1,Bank Withdrawal,101.35,1553.95,0,2242.75,3025,91,2
79,79,2,,1,0,0,Female,51,0,1,2,Q3,26,None,0,Credit Card,45.8,1147,0,1147,3287,45,4
80,80,2,,1,9,1,Male,39,1,0,0,Q3,72,None,1,Bank Withdrawal,94.65,6747.35,0,9139.19,5943,20,3
81,81,2,,2,1,1,Male,64,1,0,0,Q3,44,None,1,Bank Withdrawal,20.5,865.05,0,2070.65,3093,59,3
82,82,2,,1,0,0,Male,55,0,0,0,Q3,66,Offer A,0,Credit Card,89.4,5976.9,36.02,9200.36,4889,49,3
83,83,3,14,1,0,0,Female,40,0,0,0,Q3,2,None,1,Bank Withdrawal,86.25,181.65,0,255.27,3529,94,2
84,84,2,,2,0,0,Female,76,0,0,0,Q3,44,None,0,Bank Withdrawal,74.85,3268.05,17.91,3589.82,3253,71,5
85,47,3,12,1,0,0,Female,57,0,0,0,Q3,12,Offer D,1,Bank Withdrawal,89.75,1052.4,0,1224.96,5671,90,3
86,85,2,,3,1,1,Male,71,1,0,0,Q3,69,None,1,Bank Withdrawal,109.95,7634.25,0,8904.54,4297,63,5
87,86,3,8,1,0,0,Female,25,0,0,0,Q3,1,Offer E,1,Mailed Check,80.2,80.2,0,81.43,3056,90,3
88,87,3,10,1,0,0,Female,24,0,0,0,Q3,3,Offer E,0,Credit Card,19.85,63.75,0,141,3398,95,1
89,88,1,,1,10,1,Female,19,1,0,0,Q3,2,None,0,Bank Withdrawal,90.35,190.5,0,199.8,5361,29,3
90,89,2,,3,0,0,Female,77,0,0,0,Q3,27,None,1,Bank Withdrawal,86.45,2401.05,0,2481.24,5990,77,4
91,90,2,,1,0,0,Male,57,0,0,0,Q3,26,Offer C,1,Bank Withdrawal,20.3,511.25,0,858.09,5712,68,5
92,91,2,,1,9,1,Female,73,1,0,0,Q3,39,None,1,Bank Withdrawal,101.25,3949.15,0,4735,3172,77,4
93,92,3,5,1,0,0,Male,41,0,0,0,Q3,25,None,1,Bank Withdrawal,94.7,2362.1,0,3234.1,5641,82,1
94,93,3,5,1,0,0,Female,43,0,0,0,Q3,1,Offer E,0,Mailed Check,70.9,70.9,0,110.71,4739,78,1
95,94,3,17,1,1,1,Male,48,1,0,0,Q3,22,Offer D,1,Bank Withdrawal,54.2,1152.7,0,1751.98,5102,87,2
96,49,2,,3,0,0,Female,56,0,0,0,Q3,72,Offer A,1,Bank Withdrawal,114.9,8496.7,0,11979.34,4589,69,4
97,95,2,,3,0,0,Female,51,0,0,0,Q3,24,None,1,Bank Withdrawal,19.55,470.2,0,725.56,2511,34,5
98,96,2,,1,8,1,Female,34,1,0,0,Q3,19,None,1,Bank Withdrawal,86.85,1564.4,0,1713.36,5072,64,5
99,18,2,,3,2,1,Male,21,1,1,2,Q3,71,None,0,Credit Card,25.35,1847.55,0,2500.75,5747,68,5
100,97,2,,2,7,1,Male,78,1,0,0,Q3,33,None,1,Bank Withdrawal,109.9,3694.7,0,4524.65,5655,59,3
101,98,1,,1,0,0,Female,60,0,0,0,Q3,3,None,0,Credit Card,19.95,58,0,66.07,5949,74,3
102,99,2,,1,7,1,Male,54,1,1,1,Q3,47,None,0,Bank Withdrawal,87.2,4017.45,0,4068.68,3760,76,3
103,100,2,,3,2,1,Male,42,1,1,3,Q3,62,None,0,Credit Card,108.15,6825.65,0,6934.77,5298,43,4
104,101,2,,2,0,0,Male,22,0,0,0,Q3,71,None,1,Bank Withdrawal,116.3,8309.55,0,8514.03,4644,59,4
105,102,2,,3,8,1,Male,71,1,0,0,Q3,7,None,1,Bank Withdrawal,89,605.45,0,899.24,5711,36,4
106,103,2,,1,6,1,Female,56,1,1,2,Q3,27,Offer C,0,Credit Card,74.4,1972.35,0,3232.17,4331,57,3
107,104,1,,1,0,0,Male,33,0,0,0,Q3,2,None,0,Credit Card,20.05,33.7,0,37.32,4978,59,3
108,105,2,,3,0,0,Female,32,0,1,3,Q3,25,Offer C,0,Bank Withdrawal,35.05,844.45,0,844.45,2754,69,4
109,106,2,,2,0,0,Male,80,0,0,0,Q3,30,None,1,Bank Withdrawal,74.75,2111.3,0,3269.6,3033,55,4
110,107,3,12,2,1,1,Female,73,1,0,0,Q3,58,None,1,Credit Card,105.5,6205.5,0,7188.02,5067,91,1
111,108,3,1,1,1,1,Male,26,1,0,0,Q3,10,Offer D,1,Bank Withdrawal,85.25,855.3,0,975.5,3573,75,3
112,109,2,,1,0,0,Female,59,0,0,0,Q3,9,None,1,Credit Card,75.2,633.85,0,717.28,5841,68,5
113,110,3,19,1,1,1,Female,78,1,0,0,Q3,6,None,1,Bank Withdrawal,84.35,474.9,0,647.16,5721,77,3
114,111,2,,2,7,1,Female,47,1,1,1,Q3,69,None,0,Bank Withdrawal,84.45,5848.6,0,8574.08,5629,49,3
115,112,2,,3,0,0,Female,68,0,0,0,Q3,66,None,1,Bank Withdrawal,102.4,6471.85,0,7161.55,4861,69,3
116,113,3,13,2,0,0,Female,30,0,0,0,Q3,70,Offer A,0,Credit Card,115.55,8127.6,0,8842.3,4838,87,1
117,114,3,10,2,0,0,Male,62,0,0,0,Q3,25,Offer C,0,Bank Withdrawal,25.3,676.35,0,815.6,3779,79,3
118,115,2,,3,1,1,Female,52,1,1,2,Q3,46,Offer B,1,Credit Card,19.25,864.2,0,1983.38,5596,77,5
119,116,2,,2,7,1,Female,63,1,0,0,Q3,54,Offer B,1,Credit Card,114.65,6049.5,0,6665.1,4488,67,4
120,117,3,2,1,0,0,Female,54,0,0,0,Q3,15,None,0,Bank Withdrawal,105.1,1582.75,0,1918.6,2122,84,1
121,118,2,,1,0,0,Female,48,1,1,1,Q3,12,Offer D,0,Bank Withdrawal,19.4,198.1,0,297.1,3713,29,3
122,119,2,,1,0,0,Female,51,0,0,0,Q3,22,None,1,Bank Withdrawal,50.35,1098.85,0,1098.85,2875,73,3
123,120,2,,3,9,1,Female,22,1,0,0,Q3,70,None,0,Bank Withdrawal,57.8,4039.3,1.01,4038.29,5640,42,4
124,121,2,,1,0,0,Male,52,0,0,0,Q3,30,Offer C,1,Credit Card,84.3,2438.6,0,3310.5,5393,66,4
125,122,2,,2,1,1,Male,22,1,1,1,Q3,71,Offer A,0,Bank Withdrawal,100.55,7113.75,16.99,9108.9,5876,37,5
126,123,2,,2,2,1,Male,33,1,0,0,Q3,30,None,0,Credit Card,19.8,576.65,0,870.95,4006,74,5
127,76,3,2,1,5,1,Male,26,1,0,0,Q3,4,Offer E,1,Bank Withdrawal,84.8,371.9,0,486.98,4939,73,3
128,124,3,2,1,0,0,Male,58,0,0,0,Q3,2,Offer E,1,Bank Withdrawal,85.85,167.3,0,195.58,3273,67,1
129,125,2,,2,0,0,Male,22,0,1,1,Q3,10,None,1,Bank Withdrawal,19.95,219.5,0,298.1,3044,48,5
130,126,2,,2,0,0,Male,66,0,0,0,Q3,4,Offer E,0,Bank Withdrawal,75.35,273.4,0,419,4033,40,3
131,127,2,,3,0,0,Male,69,0,0,0,Q3,52,Offer B,1,Credit Card,48.8,2555.05,0,2555.05,4865,67,3
132,128,3,2,1,0,0,Male,25,0,0,0,Q3,5,None,0,Bank Withdrawal,47.15,223.15,0,333.2,2857,82,2
133,129,2,,3,1,1,Male,30,1,1,3,Q3,8,Offer E,0,Credit Card,20.15,165.5,0,188.46,3899,32,4
134,34,1,,2,0,0,Female,73,0,0,0,Q3,2,Offer E,1,Bank Withdrawal,44.3,89.3,0,137.12,3805,44,3
135,130,1,,1,0,0,Male,46,0,0,0,Q3,3,Offer E,0,Bank Withdrawal,84.3,235.05,0,276.21,5828,43,5
136,131,2,,1,0,0,Male,40,0,0,0,Q3,19,Offer D,0,Bank Withdrawal,59.55,1144.6,0,1369.75,3949,39,4
137,132,2,,3,0,0,Male,53,0,0,0,Q3,72,Offer A,0,Bank Withdrawal,69.65,4908.25,0,5171.77,4262,32,5
138,133,2,,2,2,1,Male,76,1,0,0,Q3,63,Offer B,0,Bank Withdrawal,36.1,2298.9,0,2298.9,5089,48,3
139,134,2,,3,1,1,Male,38,1,0,0,Q3,66,None,1,Bank Withdrawal,56.6,3789.2,0,3789.2,5500,77,4
140,88,3,2,1,0,0,Male,23,0,0,0,Q3,1,None,1,Bank Withdrawal,75.9,75.9,0,120.46,3389,66,3
141,135,2,,2,0,0,Female,24,0,0,0,Q3,60,None,1,Bank Withdrawal,79.2,4765,0,5682.4,5687,49,3
142,136,2,,2,3,1,Female,43,1,1,3,Q3,48,None,0,Credit Card,45,2196.3,0,2196.3,5269,21,3
143,137,3,15,1,0,0,Female,45,0,0,0,Q3,1,Offer E,1,Credit Card,85.55,85.55,0,118.89,3967,86,2
144,138,3,5,1,0,0,Male,49,0,0,0,Q3,15,None,1,Bank Withdrawal,93.35,1444.65,0,2178.6,5264,77,1
145,139,2,,1,4,1,Female,62,1,0,0,Q3,50,Offer B,1,Bank Withdrawal,109.65,5405.8,0,7134.3,4676,21,3
146,140,2,,3,10,1,Male,25,1,1,1,Q3,72,Offer A,0,Credit Card,89.7,6339.3,0,8769.3,4193,50,3
147,141,2,,1,0,0,Female,37,0,0,0,Q3,46,None,0,Credit Card,84.25,3847.6,0,5938.02,3509,49,4
148,142,2,,3,4,1,Female,35,1,1,1,Q3,72,None,0,Bank Withdrawal,92.65,6733,0,8893,6342,75,4
149,143,1,,1,2,1,Male,37,1,1,3,Q3,1,None,0,Credit Card,19.7,19.7,0,53.98,2004,43,5
150,144,1,,1,0,0,Female,19,0,0,0,Q3,1,None,1,Bank Withdrawal,50.1,50.1,0,79.23,5617,57,4
151,145,2,,3,0,0,Female,69,0,0,0,Q3,67,Offer A,1,Bank Withdrawal,92.45,6140.85,0,6313.04,5857,80,4
152,146,2,,3,5,1,Female,44,1,1,1,Q3,48,None,0,Bank Withdrawal,79.65,3870.3,0,4299.42,3246,50,4
153,147,2,,3,0,0,Female,19,0,0,0,Q3,72,None,1,Bank Withdrawal,109.9,7624.2,0,10641.72,5234,37,4
154,148,2,,2,6,1,Male,64,1,0,0,Q3,52,Offer B,1,Credit Card,81.4,4354.45,0,6504.13,4628,64,4
155,149,2,,2,1,1,Female,44,1,1,3,Q3,67,Offer A,0,Credit Card,50.55,3431.75,0,6574.05,5122,51,5
156,150,3,5,1,1,1,Female,58,1,0,0,Q3,28,Offer C,1,Bank Withdrawal,81.05,2227.1,0,2698.9,5201,91,1
157,151,2,,1,9,1,Female,29,1,1,1,Q3,32,Offer C,0,Bank Withdrawal,62.45,2045.55,0,3110.51,5442,74,3
158,152,3,12,1,2,1,Female,80,1,0,0,Q3,27,None,1,Bank Withdrawal,75.2,1929.35,0,2118.89,4517,91,1
159,153,1,,1,0,0,Male,22,0,0,0,Q3,3,None,0,Bank Withdrawal,90.4,268.45,0,362.89,5625,61,5
160,76,3,2,1,0,0,Male,22,0,0,0,Q3,2,Offer E,1,Bank Withdrawal,85.65,181.5,0,262.36,3878,73,1
161,154,3,2,1,0,0,Female,50,0,1,2,Q3,9,None,1,Credit Card,72.9,651.4,0,970.81,3585,65,1
162,155,2,,3,10,1,Male,53,1,1,2,Q3,50,Offer B,1,Credit Card,70.5,3486.65,0,5711.15,4022,60,4
163,156,2,,3,1,1,Female,45,1,1,2,Q3,71,None,0,Bank Withdrawal,20.1,1389.6,0,3592.73,5043,23,3
164,76,3,12,1,2,1,Male,76,1,0,0,Q3,32,Offer C,1,Bank Withdrawal,74.9,2303.35,0,3818.23,4105,69,2
165,157,2,,1,10,1,Female,57,1,1,3,Q3,16,Offer D,0,Bank Withdrawal,100.7,1522.7,0,1959.02,3337,72,4
166,18,2,,3,8,1,Female,45,1,1,3,Q3,67,Offer A,1,Bank Withdrawal,105.65,6717.9,0,7909.83,6383,59,5
167,158,2,,3,1,1,Male,43,1,1,1,Q3,72,None,1,Credit Card,114.3,8058.55,0,9206.23,5879,70,3
168,159,3,12,1,0,0,Female,41,0,0,0,Q3,3,Offer E,0,Bank Withdrawal,19.75,58.85,0,132.74,2647,83,3
169,160,2,,2,1,1,Male,22,1,1,3,Q3,23,None,0,Credit Card,24.35,538.5,0,1642.96,4031,30,5
170,161,2,,3,1,1,Male,62,1,1,2,Q3,72,None,0,Bank Withdrawal,69.85,5102.35,25.24,7119.75,6233,77,3
171,162,2,,1,9,1,Male,21,1,1,2,Q3,7,Offer E,0,Credit Card,58.85,465.7,0,465.7,3332,76,3
172,163,2,,1,10,1,Male,49,1,1,3,Q3,8,Offer E,1,Bank Withdrawal,54.4,475.1,0,487.58,4854,62,4
173,164,2,,3,9,1,Male,33,1,1,4,Q3,66,Offer A,0,Bank Withdrawal,50.55,3364.55,0,3474.55,4652,30,4
174,165,3,12,1,0,0,Male,30,0,0,0,Q3,5,Offer E,0,Credit Card,21.05,113.85,0,285.15,2604,66,3
175,166,3,5,1,0,0,Male,38,0,1,1,Q3,49,None,1,Bank Withdrawal,103.7,5036.3,0,7208.47,5340,89,1
176,167,2,,3,2,1,Male,56,1,0,0,Q3,63,Offer B,1,Bank Withdrawal,19.95,1234.8,0,3651.48,5151,74,3
177,168,2,,1,1,1,Female,70,1,1,1,Q3,12,Offer D,1,Mailed Check,29.3,355.9,0,355.9,3353,75,4
178,169,2,,1,5,1,Male,54,1,1,6,Q3,27,None,1,Credit Card,54.75,1510.3,0,2487.43,3519,41,3
179,27,2,,1,0,0,Female,57,0,0,0,Q3,35,None,0,Bank Withdrawal,60.55,1982.6,0,3550.95,3463,34,4
180,170,2,,1,7,1,Female,40,1,1,2,Q3,54,Offer B,1,Bank Withdrawal,86.2,4524.05,0,4757.87,6275,45,3
181,171,3,5,1,0,0,Male,56,0,0,0,Q3,1,None,1,Bank Withdrawal,95.45,95.45,0,101.04,5962,71,1
182,172,2,,1,0,0,Male,38,0,0,0,Q3,5,Offer E,1,Credit Card,63.95,318.1,0,387.9,3099,42,4
183,173,2,,2,0,0,Male,61,0,0,0,Q3,19,None,1,Bank Withdrawal,65.35,1231.85,0,2085.86,2051,39,4
184,174,2,,3,1,1,Male,35,1,1,2,Q3,52,None,0,Credit Card,50.2,2554,27.01,2526.99,5396,47,4
185,175,2,,3,8,1,Female,61,1,1,3,Q3,72,None,1,Bank Withdrawal,63.8,4684.3,0,4684.3,6107,32,4
186,176,2,,3,0,0,Male,50,0,0,0,Q3,32,None,1,Bank Withdrawal,20.05,614.45,9.73,1081.84,3398,20,5
187,177,3,2,1,1,1,Female,47,1,0,0,Q3,8,None,0,Bank Withdrawal,101.15,842.9,0,977.94,2750,76,2
188,178,2,,2,0,0,Male,35,0,0,0,Q3,41,Offer B,0,Mailed Check,65,2531.8,0,4211.35,5043,57,4
189,179,2,,1,0,0,Male,32,0,0,0,Q3,5,None,1,Credit Card,19.25,86.05,0,191.1,3056,27,3
190,180,2,,2,0,0,Female,54,0,1,1,Q3,11,None,1,Credit Card,36.05,402.6,0,502.6,4265,67,4
191,89,3,2,1,0,0,Male,61,0,0,0,Q3,5,None,1,Bank Withdrawal,96.1,453.4,0,608.85,4192,66,1
192,181,2,,2,0,0,Female,62,0,0,0,Q3,16,Offer D,0,Credit Card,19.05,326.65,0,990.81,4336,60,5
193,182,2,,2,0,0,Male,80,0,0,0,Q3,71,None,0,Bank Withdrawal,105.75,7382.85,0,7815.95,4921,54,4
194,183,2,,2,0,0,Female,23,0,0,0,Q3,11,None,1,Credit Card,40.4,422.6,0,422.6,2133,62,5
195,184,3,7,1,1,1,Female,63,1,0,0,Q3,61,None,1,Bank Withdrawal,99.15,6010.05,0,9019.18,5612,77,3
196,185,2,,2,2,1,Female,50,1,0,0,Q3,71,None,1,Bank Withdrawal,84.8,6046.1,0,7683.36,5643,28,3
197,186,2,,1,0,0,Male,56,0,0,0,Q3,9,None,0,Credit Card,19.85,178.8,0,545.46,2788,63,3
198,187,2,,1,0,0,Female,63,0,0,0,Q3,6,None,1,Bank Withdrawal,49.45,314.6,0,549.56,3672,60,3
199,188,3,7,1,0,0,Female,58,0,0,0,Q3,26,None,1,Bank Withdrawal,88.8,2274.35,0,3314.69,4910,82,2
200,189,2,,1,0,0,Female,29,0,0,0,Q3,6,Offer E,0,Mailed Check,55.15,322.9,0,364.78,5377,42,4
201,190,2,,1,0,0,Male,54,0,0,0,Q3,11,None,0,Bank Withdrawal,84.8,888.75,0,1225.02,4924,60,4
202,191,3,5,1,1,1,Male,25,1,0,0,Q3,1,None,1,Bank Withdrawal,80.55,80.55,0,124.22,4273,91,1
203,192,2,,3,10,1,Female,31,1,0,0,Q3,49,None,1,Bank Withdrawal,20.15,973.35,0,1111.53,5422,37,5
204,193,1,,1,9,1,Female,25,1,1,2,Q3,3,Offer E,1,Credit Card,58.7,168.6,0,203.01,3654,52,3
205,172,2,,3,0,0,Female,46,0,0,0,Q3,53,Offer B,0,Credit Card,99.5,5424.25,0,7733.46,4754,23,3
